Epoch:1
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1215,25,42,5071
Class 2,506,14,30,5803
Class 3,1115,19,39,5180
Class 4,93,1,2,6257
Class 5,128,5,9,6211
Class 6,85,5,11,6252
Class 7,828,29,60,5436
Class 8,111,6,8,6228
Class 9,450,8,17,5878
Class 10,694,17,26,5616

Epoch:25
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1226,14,31,5082
Class 2,510,12,26,5805
Class 3,1132,14,22,5185
Class 4,95,0,0,6258
Class 5,135,0,2,6216
Class 6,92,2,4,6255
Class 7,843,19,45,5446
Class 8,111,4,8,6230
Class 9,451,7,16,5879
Class 10,682,20,38,5613

Epoch:26
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1207,25,50,5071
Class 2,517,16,19,5801
Class 3,1102,24,52,5175
Class 4,86,5,9,6253
Class 5,129,2,8,6214
Class 6,89,2,7,6255
Class 7,823,33,65,5432
Class 8,108,4,11,6230
Class 9,450,8,17,5878
Class 10,680,17,40,5616

Epoch:27
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1217,21,40,5075
Class 2,502,12,34,5805
Class 3,1117,24,37,5175
Class 4,88,2,7,6256
Class 5,134,1,3,6215
Class 6,95,0,1,6257
Class 7,837,26,51,5439
Class 8,110,4,9,6230
Class 9,450,8,17,5878
Class 10,690,18,30,5615

Epoch:28
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1231,15,26,5081
Class 2,525,5,11,5812
Class 3,1122,13,32,5186
Class 4,91,2,4,6256
Class 5,133,0,4,6216
Class 6,94,0,2,6257
Class 7,849,19,39,5446
Class 8,113,2,6,6232
Class 9,455,9,12,5877
Class 10,698,8,22,5625

Epoch:29
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1204,34,53,5062
Class 2,507,16,29,5801
Class 3,1122,13,32,5186
Class 4,86,5,9,6253
Class 5,132,2,5,6214
Class 6,91,0,5,6257
Class 7,843,23,45,5442
Class 8,113,5,6,6229
Class 9,456,5,11,5881
Class 10,680,17,40,5616

Epoch:30
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1221,18,36,5078
Class 2,512,11,24,5806
Class 3,1123,18,31,5181
Class 4,91,1,4,6257
Class 5,129,2,8,6214
Class 6,91,5,5,6252
Class 7,839,27,49,5438
Class 8,107,5,12,6229
Class 9,446,11,21,5875
Class 10,691,18,29,5615

Epoch:31
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1214,30,43,5066
Class 2,508,12,28,5805
Class 3,1127,17,27,5182
Class 4,84,4,11,6254
Class 5,127,4,10,6212
Class 6,88,2,8,6255
Class 7,853,21,35,5444
Class 8,108,6,11,6228
Class 9,455,3,12,5883
Class 10,685,20,35,5613

Epoch:32
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1215,19,42,5077
Class 2,510,15,26,5802
Class 3,1125,14,29,5185
Class 4,90,1,5,6257
Class 5,128,2,9,6214
Class 6,90,1,6,6256
Class 7,839,23,49,5442
Class 8,114,3,5,6231
Class 9,450,10,17,5876
Class 10,679,17,41,5616

Epoch:33
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1218,20,39,5076
Class 2,518,9,18,5808
Class 3,1122,19,32,5180
Class 4,86,4,9,6254
Class 5,128,2,9,6214
Class 6,93,1,3,6256
Class 7,835,28,53,5437
Class 8,108,4,11,6230
Class 9,453,8,14,5878
Class 10,688,17,32,5616

Epoch:34
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1226,14,31,5082
Class 2,518,12,18,5805
Class 3,1127,14,27,5185
Class 4,91,3,4,6255
Class 5,131,1,6,6215
Class 6,93,0,3,6257
Class 7,843,17,45,5448
Class 8,111,3,8,6231
Class 9,456,7,11,5879
Class 10,694,15,26,5618

Epoch:35
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1215,17,42,5079
Class 2,522,9,14,5808
Class 3,1130,14,24,5185
Class 4,89,2,6,6256
Class 5,128,5,9,6211
Class 6,90,3,6,6254
Class 7,840,25,48,5440
Class 8,111,4,8,6230
Class 9,455,6,12,5880
Class 10,686,15,34,5618

Epoch:36
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1223,18,34,5078
Class 2,526,3,10,5814
Class 3,1120,21,34,5178
Class 4,81,7,14,6251
Class 5,132,2,5,6214
Class 6,92,1,4,6256
Class 7,847,20,41,5445
Class 8,112,5,7,6229
Class 9,441,10,26,5876
Class 10,702,8,18,5625

Epoch:37
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1227,22,30,5074
Class 2,518,10,18,5807
